DATE OCCURRED,Year,Quarter,Month,Week,Day,TIME OCCURRED,CRIME CODE,CRIME CODE DESCRIPTION,VICTIM AGE,VICTIM SEX,PREMISE CODE,PREMISE DESCRIPTION,WEAPON USED CODE,WEAPON DESCRIPTION,LATITUDE,LONGITUDE,CT10
8/1/2016,2016,3,8,32,2,1310,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",53,M,101,STREET,312,PIPE/METAL PIPE,34.0442,-118.2439,206300
8/1/2016,2016,3,8,32,2,2215,210,ROBBERY,69,M,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,34.0417,-118.2443,206300
8/2/2016,2016,3,8,32,3,1950,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",49,M,517,,312,PIPE/METAL PIPE,34.0437,-118.2455,206300
8/2/2016,2016,3,8,32,3,1700,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",28,M,102,SIDEWALK,309,BOARD,34.0421,-118.2469,206300
8/2/2016,2016,3,8,32,3,2115,626,INTIMATE PARTNER - SIMPLE ASSAULT,44,F,102,SIDEWALK,,,34.0428,-118.2461,206300
8/3/2016,2016,3,8,32,4,1200,440,THEFT PLAIN - PETTY ($950 & UNDER),46,F,101,STREET,,,34.0449,-118.2458,206300
8/4/2016,2016,3,8,32,5,1600,624,BATTERY - SIMPLE ASSAULT,61,F,507,CONDOMINIUM/TOWNHOUSE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0421,-118.2469,206300
8/6/2016,2016,3,8,32,7,1325,624,BATTERY - SIMPLE ASSAULT,64,M,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0421,-118.2469,206300
8/6/2016,2016,3,8,32,7,2115,624,BATTERY - SIMPLE ASSAULT,56,M,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0442,-118.2439,206300
8/7/2016,2016,3,8,33,1,500,220,ATTEMPTED ROBBERY,28,F,504,OTHER RESIDENCE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0428,-118.2461,206300
8/9/2016,2016,3,8,33,3,1800,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",56,F,102,SIDEWALK,308,STICK,34.0428,-118.2461,206300
8/9/2016,2016,3,8,33,3,2200,121,"RAPE, FORCIBLE",34,F,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0428,-118.2461,206300
8/10/2016,2016,3,8,33,4,1600,626,INTIMATE PARTNER - SIMPLE ASSAULT,27,F,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0423,-118.2452,206300
8/11/2016,2016,3,8,33,5,145,626,INTIMATE PARTNER - SIMPLE ASSAULT,55,M,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0368,-118.2412,206300
8/11/2016,2016,3,8,33,5,1300,624,BATTERY - SIMPLE ASSAULT,,F,726,POLICE FACILITY,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0448,-118.2474,206300
8/11/2016,2016,3,8,33,5,1900,624,BATTERY - SIMPLE ASSAULT,51,M,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0435,-118.2471,206300
8/14/2016,2016,3,8,34,1,1410,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",35,M,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON,34.0442,-118.2439,206300
8/14/2016,2016,3,8,34,1,1700,626,INTIMATE PARTNER - SIMPLE ASSAULT,28,F,102,SIDEWALK,,,34.043,-118.242,206300
8/15/2016,2016,3,8,34,2,1140,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",48,F,102,SIDEWALK,513,STUN GUN,34.0421,-118.2469,206300
8/15/2016,2016,3,8,34,2,1010,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",48,F,517,,,,34.0421,-118.2469,206300
8/15/2016,2016,3,8,34,2,2200,624,BATTERY - SIMPLE ASSAULT,66,M,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0442,-118.2439,206300
8/16/2016,2016,3,8,34,3,1200,440,THEFT PLAIN - PETTY ($950 & UNDER),58,M,102,SIDEWALK,,,34.0423,-118.2452,206300
8/16/2016,2016,3,8,34,3,1400,910,KIDNAPPING,27,F,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0416,-118.244,206300
8/16/2016,2016,3,8,34,3,2000,220,ATTEMPTED ROBBERY,41,F,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,34.0417,-118.2443,206300
8/17/2016,2016,3,8,34,4,1400,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",49,M,517,,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0421,-118.2469,206300
8/17/2016,2016,3,8,34,4,2300,440,THEFT PLAIN - PETTY ($950 & UNDER),59,F,102,SIDEWALK,,,34.0449,-118.2458,206300
8/18/2016,2016,3,8,34,5,120,210,ROBBERY,49,M,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0449,-118.2458,206300
8/18/2016,2016,3,8,34,5,640,626,INTIMATE PARTNER - SIMPLE ASSAULT,30,F,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0423,-118.2452,206300
8/18/2016,2016,3,8,34,5,1230,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",25,F,102,SIDEWALK,107,OTHER FIREARM,34.043,-118.242,206300
8/18/2016,2016,3,8,34,5,1400,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",40,M,102,SIDEWALK,207,OTHER KNIFE,34.0442,-118.2439,206300
8/21/2016,2016,3,8,35,1,2235,624,BATTERY - SIMPLE ASSAULT,55,F,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0437,-118.2455,206300
8/22/2016,2016,3,8,35,2,1730,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",67,M,102,SIDEWALK,207,OTHER KNIFE,34.0408,-118.2428,206300
