tract,Community_Name,Beds Available,Unsheltered Homeless People,SOD
101110,Sunland-Tujunga,0,1,-1
101122,Sunland-Tujunga,0,0,0
101210,Sunland-Tujunga,0,5,-5
101220,Sunland-Tujunga,0,34,-34
101300,Sunland-Tujunga,0,20,-20
101400,Sunland-Tujunga,0,12,-12
102103,Sun Valley,0,8,-8
102104,Sun Valley,0,0,0
102105,Sun Valley,0,10,-10
102107,Foothill Trails,0,5,-5
103101,Sunland-Tujunga,0,7,-7
103102,Sunland-Tujunga,0,12,-12
103200,Foothill Trails,0,55,-55
103300,Foothill Trails,0,15,-15
103400,Sunland-Tujunga,0,18,-18
104103,Foothill Trails,0,33,-33
104105,Pacoima,0,7,-7
104108,Pacoima,0,6,-6
104124,Angeles National Forest,0,0,0
104201,Pacoima,0,24,-24
104203,Pacoima,0,2,-2
104204,Foothill Trails,0,17,-17
104310,Pacoima,0,6,-6
104320,Pacoima,0,3,-3
104401,Pacoima,0,2,-2
104403,Pacoima,0,20,-20
104404,Pacoima,0,14,-14
104500,Pacoima,0,2,-2
104610,Pacoima,0,3,-3
104620,Pacoima,0,19,-19
104701,Pacoima,0,2,-2
104703,Pacoima,0,62,-62
104704,Pacoima,0,9,-9
104810,Pacoima,0,0,0
104821,Pacoima,0,3,-3
104822,Pacoima,0,26,-26
106010,Sylmar,0,0,0
106020,Sylmar,0,43,-43
106111,Sylmar,0,2,-2
106112,Sylmar,0,13,-13
106113,Sylmar,0,50,-50
106114,Sylmar,0,22,-22
106403,Sylmar,0,4,-4
106405,Sylmar,0,3,-3
106406,Sylmar,0,9,-9
106407,Sylmar,0,0,0
106408,Sylmar,0,2,-2
106510,Sylmar,0,12,-12
106520,Sylmar,0,44,-44
106603,Granada Hills,0,0,0
106604,Sylmar,0,15,-15
106641,Granada Hills,0,0,0
106642,Granada Hills,0,4,-4
106643,Granada Hills,0,2,-2
106645,Granada Hills,0,0,0
106646,Granada Hills,0,3,-3
106648,Sylmar,0,0,0
106649,Sylmar,0,0,0
107010,Sylmar,0,4,-4
107020,Sylmar,0,2,-2
108101,Porter Ranch,0,0,0
108102,Porter Ranch,0,0,0
108103,Porter Ranch,0,0,0
108104,Porter Ranch,0,0,0
108201,Porter Ranch,0,5,-5
108202,Porter Ranch,0,0,0
109100,Mission Hills,0,35,-35
109200,Granada Hills,0,0,0
109300,Granada Hills,0,55,-55
109400,Mission Hills,0,25,-25
109500,Mission Hills,0,81,-81
109601,Mission Hills,0,4,-4
109603,Mission Hills,0,50,-50
109604,Mission Hills,0,34,-34
109700,Granada Hills,0,13,-13
109800,North Hills,0,5,-5
111100,Granada Hills,0,0,0
111201,Granada Hills,0,2,-2
111202,Granada Hills,0,4,-4
111204,Northridge,0,3,-3
111205,Northridge,0,2,-2
111206,Northridge,0,0,0
111301,Granada Hills,0,11,-11
111302,Northridge,0,0,0
111400,Granada Hills,0,2,-2
113101,Chatsworth,0,3,-3
113102,Chatsworth,0,15,-15
113211,Chatsworth,0,0,0
113212,Chatsworth,0,0,0
113213,Chatsworth,0,13,-13
113231,West Hills,0,12,-12
113232,West Hills,0,6,-6
113233,Canoga Park,0,5,-5
113234,Canoga Park,0,8,-8
113235,Chatsworth,0,0,0
113237,Chatsworth,0,47,-47
113301,Northridge,0,15,-15
113303,Chatsworth,0,51,-51
113321,Chatsworth,0,14,-14
113322,Chatsworth,0,10,-10
113401,Northridge,0,9,-9
113421,Winnetka,0,35,-35
113422,Winnetka,0,0,0
115101,Northridge,0,5,-5
115103,Northridge,0,0,0
115104,Northridge,0,12,-12
115201,Northridge,0,3,-3
115202,Northridge,0,26,-26
115301,Northridge,0,0,0
115302,Northridge,0,17,-17
115401,Northridge,0,1,-1
115403,Northridge,0,10,-10
115404,Northridge,0,2,-2
117101,North Hills,0,16,-16
117102,North Hills,0,12,-12
117201,North Hills,0,7,-7
117202,North Hills,0,5,-5
117301,North Hills,0,0,0
117302,Northridge,0,0,0
117303,North Hills,0,49,-49
117404,North Hills,0,34,-34
117405,North Hills,0,2,-2
117407,North Hills,0,9,-9
117408,North Hills,0,57,-57
117510,North Hills,0,15,-15
117520,North Hills,0,20,-20
117530,North Hills,0,71,-71
119001,Arleta,0,4,-4
119002,Arleta,0,19,-19
119201,Arleta,0,16,-16
119202,Arleta,0,2,-2
119310,Panorama City,0,2,-2
119320,Panorama City,0,3,-3
119340,Panorama City,0,2,-2
119341,Panorama City,0,8,-8
119342,Panorama City,0,0,0
119400,Arleta,0,0,0
119700,Arleta,0,9,-9
119800,Arleta,0,20,-20
119900,Panorama City,0,10,-10
120010,Panorama City,0,7,-7
120020,Panorama City,0,18,-18
120030,Panorama City,0,20,-20
120103,Panorama City,0,5,-5
120104,Panorama City,0,23,-23
120105,Panorama City,0,6,-6
120106,Panorama City,0,2,-2
120107,Panorama City,0,7,-7
120108,Panorama City,0,20,-20
120300,Panorama City,0,13,-13
120400,Panorama City,0,6,-6
121010,Sun Valley,0,35,-35
121020,North Hollywood,0,0,0
121101,Sun Valley,0,12,-12
121102,Sun Valley,0,58,-58
121210,Sun Valley,0,25,-25
121221,Sun Valley,0,10,-10
121222,Sun Valley,0,28,-28
121600,North Hollywood,0,5,-5
121801,North Hollywood,0,2,-2
121802,North Hollywood,106,41,65
121900,Sun Valley,127,30,97
122000,North Hollywood,0,38,-38
122120,Sun Valley,0,16,-16
122121,Sun Valley,0,0,0
122122,Sun Valley,0,98,-98
122200,Sun Valley,0,24,-24
122410,North Hollywood,0,14,-14
122420,North Hollywood,0,17,-17
123010,Sun Valley,0,27,-27
123020,Sun Valley,0,26,-26
123103,North Hollywood,0,42,-42
