DR NUMBER,DATE REPORTED,DATE OCCURRED,TIME OCCURRED,AREA ID,AREA NAME,REPORTING DISTRICT,CRIME CODE,CRIME CODE DESCRIPTION,MO CODES,VICTIM AGE,VICTIM SEX,VICTIM DESCENT,PREMISE CODE,PREMISE DESCRIPTION,WEAPON USED CODE,WEAPON DESCRIPTION,STATUS CODE,STATUS DESCRIPTION,CRIME CODE 1,CRIME CODE 2,CRIME CODE 3,CRIME CODE 4,ADDRESS,CROSS STREET,LOCATION ,LATITUDE,LONGITUDE,geometry,index_right,CT10,GEOID10,LABEL,OBJECTID,Shape_STAr,Shape_STLe,X_Center,Y_Center
160101129,08/01/2016,08/01/2016,1310,01,Central,0147,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 1402 1218 0319 0342 0445,53,M,B,101,STREET,312,PIPE/METAL PIPE,AO,Adult Other,230,998,,,SAN PEDRO,WINSTON,"(34.0442, -118.2439)",34.0442, -118.2439,POINT (-118.2439 34.0442),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
160120276,08/02/2016,08/01/2016,2215,01,Central,0157,210,ROBBERY,0305 0344 0445 1218 0342 0429,69,M,B,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,210,,,,6TH                          ST,CROCKER,"(34.0417, -118.2443)",34.0417, -118.2443,POINT (-118.2443 34.0417),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
160120325,08/02/2016,08/02/2016,1950,01,Central,0156,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2004 1402 0416 1218 0445 1822,49,M,B,517,,312,PIPE/METAL PIPE,AO,Adult Other,230,998,,,500 S  SAN PEDRO                    ST,,"(34.0437, -118.2455)",34.0437, -118.2455,POINT (-118.2455 34.0437),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
160120339,08/02/2016,08/02/2016,1700,01,Central,0166,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1218 0416 0445,28,M,H,102,SIDEWALK,309,BOARD,IC,Invest Cont,230,,,,600 S  SAN PEDRO                    ST,,"(34.0421, -118.2469)",34.0421, -118.2469,POINT (-118.2469 34.0421),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
160120355,08/02/2016,08/02/2016,2115,01,Central,0156,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0416 1218 2004,44,F,B,102,SIDEWALK,,,AO,Adult Other,626,,,,6TH                          ST,WALL                         ST,"(34.0428, -118.2461)",34.0428, -118.2461,POINT (-118.2461 34.0428),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
160121166,08/14/2016,08/03/2016,1200,01,Central,0156,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1218,46,F,B,101,STREET,,,IC,Invest Cont,440,,,,5TH,WALL,"(34.0449, -118.2458)",34.0449, -118.2458,POINT (-118.2458 34.0449),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
160120650,08/06/2016,08/04/2016,1600,01,Central,0166,624,BATTERY - SIMPLE ASSAULT,1218 2004 0444 0319,61,F,B,507,CONDOMINIUM/TOWNHOUSE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,600 S  SAN PEDRO                    ST,,"(34.0421, -118.2469)",34.0421, -118.2469,POINT (-118.2469 34.0421),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
160120613,08/06/2016,08/06/2016,1325,01,Central,0166,624,BATTERY - SIMPLE ASSAULT,1218 0416,64,M,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,600 S  SAN PEDRO                    ST,,"(34.0421, -118.2469)",34.0421, -118.2469,POINT (-118.2469 34.0421),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
160120679,08/06/2016,08/06/2016,2115,01,Central,0157,624,BATTERY - SIMPLE ASSAULT,0416 1218,56,M,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,5TH,SAN PEDRO,"(34.0442, -118.2439)",34.0442, -118.2439,POINT (-118.2439 34.0442),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
160120843,08/09/2016,08/07/2016,0500,01,Central,0166,220,ATTEMPTED ROBBERY,0416 0337 1218 0202,28,F,B,504,OTHER RESIDENCE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,220,,,,600    SAN JULIAN                   ST,,"(34.0428, -118.2461)",34.0428, -118.2461,POINT (-118.2461 34.0428),691,206300,06037206300,2063.00,693,6637586.94434,13167.1657338,6487985.0,1837432.0
