LONGITUDE,LATITUDE,OBJECTID_left,SOURCE,EXT_ID,CAT1,CAT2,CAT3,ORG_NAME,NAME,ADDRLN1,ADDRLN2,CITY,STATE,HOURS,PHONES,EMAIL,URL,INFO1,INFO2,POST_ID,DESCRIPTION,ZIP,LINK,USE_TYPE,DATE_UPDATED,DIS_STATUS,POINT_X,POINT_Y,geometry,index_right,CT10,GEOID10,LABEL,OBJECTID_right,Shape_STAr,Shape_STLe,X_Center,Y_Center
-118.243152056549434,34.0452189665425,97626377,211,,Social Services,Homeless Shelters and Services,,,Special Service For Groups -  Project 180,420 S. San Pedro,,Los Angeles,CA,"SITE HOURS:  Monday through Friday, 8:30am to 4:30pm. ","FAX (213) 621-4155,  Service/Intake (213) 620-5712",,ssgmain.org/,,,772,"The agency provides advocacy, child care, HIV/AIDS services, holiday assistance, interpreter and translator services, personal goods, services for non-profit organizations, services for older adults, substance abuse services, and youth services in Los Angeles County.",90013,http://egis3.lacounty.gov/lms/?p=772,publish,2013-06-01T11:50:56.000Z,,6488010.52287413,1838925.54650681,POINT (-118.2431520565494 34.0452189665425),1239,206200,06037206200,2062.00,1241,6229434.99902,11677.5064103,6488479.0,1839572.0
-118.240389055950743,34.044048967098107,97679054,211,,Social Services,Homeless Shelters and Services,,,Los Angeles Centers For Alcohol And Drug Abuse - Homeless Outreach Project,612 E. 4th St.,,Los Angeles,CA,,Service/Intake (213) 626-6411,,,,,57298,"The agency provides domestic violence services, HIV/AIDS services, residential treatment for drug abuse services, and substance abuse services for adults and adolescents.",90013,http://egis3.lacounty.gov/lms/?p=57298,publish,2013-06-01T11:50:56.000Z,,6488846.51890555,1838497.74880598,POINT (-118.2403890559507 34.04404896709811),1239,206200,06037206200,2062.00,1241,6229434.99902,11677.5064103,6488479.0,1839572.0
-118.246126056681533,34.046005966643243,97679688,211,,Social Services,Homeless Shelters and Services,,www.svdpla.org,Society Of St. Vincent De Paul - Social Services Department,231 Winston St.,,Los Angeles,CA,"Monday through Sunday, 24 hours per day. ","FAX (213) 620-9141,  Service/Intake and Administration (213) 229-9971",,www.svdpla.org,,,57769,The agency provides homeless support services and shelter for people who are primarily in the Skid Row area of downtown Los Angeles.,90013,http://egis3.lacounty.gov/lms/?p=57769,publish,2013-06-01T11:50:56.000Z,,6487110.29042263,1839214.14304247,POINT (-118.2461260566815 34.04600596664324),1239,206200,06037206200,2062.00,1241,6229434.99902,11677.5064103,6488479.0,1839572.0
-118.244768056658501,34.044655967167841,97680073,211,,Social Services,Homeless Shelters and Services,,www.lahsa.org,Year Round Shelter - Sro Housing,403 E. 5th St.,,Los Angeles,CA,"Monday through Friday, 7:00am to 5:00pm. PICK-UP POINTS AND HOURS N/A ",Service/Intake and Administration (213) 229-9678,,www.lahsa.org,,,58184,"The agency provides shelter, motel vouchers and transportation to homeless individuals and families.",90013,http://egis3.lacounty.gov/lms/?p=58184,publish,2013-06-01T11:50:56.000Z,,6487520.47825055,1838721.84875147,POINT (-118.2447680566585 34.04465596716784),1239,206200,06037206200,2062.00,1241,6229434.99902,11677.5064103,6488479.0,1839572.0
-118.243403256713393,34.044643527043085,97680591,211,,Social Services,Homeless Shelters and Services,,www.dwcweb.org,Downtown Women's Center,442 S San Pedro St,,Los Angeles,CA,"Monday through Friday, 6:00am to 4:00pm; Saturday and Sunday, 7:00am to 3:00pm. ","Administration (213) 680-0600,  Service/Intake (213) 213-6130,  FAX (213) 680-0844",,www.dwcweb.org,,,58625,The center provides emergency food and homeless support services for single women and housing for homeless mentally ill and/or adult women in the Skid Row area of Los Angeles.,90013,http://egis3.lacounty.gov/lms/?p=58625,publish,2013-06-01T11:50:56.000Z,,6487933.91804047,1838716.31759456,POINT (-118.2434032567134 34.04464352704309),1239,206200,06037206200,2062.00,1241,6229434.99902,11677.5064103,6488479.0,1839572.0
-118.245426056365403,34.044895966590424,97682048,211,,Social Services,Homeless Shelters and Services,,www.losangelesmission.org,Los Angeles Mission,303 E. 5th St.,,Los Angeles,CA,"SITE HOURS: Monday through Saturday, 6:00am to 4:00pm; Monday through Saturday, 6:00pm to 7:00pm ","Volunteers Service/Intake (213) 629-1227 Ext.301, Urban Training Institute Service/Intake (213) 629-1227 Ext.387,  Service/Intake and Administration (213) 629-1227, Volunteers Service/Intake (213) 629-1227 Ext.417,  Service/Intake (213) 893-1960,  FAX (21",,www.losangelesmission.org,,,60003,"The mission provides a variety of Christian-oriented emergency services including adult education, emergency food, holiday assistance, homeless support services and shelter for homeless men 18 years and older who are in the Central Los Angeles/Skid Row area.",90013,http://egis3.lacounty.gov/lms/?p=60003,publish,2013-06-01T11:50:56.000Z,,6487321.35791388,1838809.6750194,POINT (-118.2454260563654 34.04489596659042),1239,206200,06037206200,2062.00,1241,6229434.99902,11677.5064103,6488479.0,1839572.0
-118.241895056854744,34.043338966588905,97682054,211,,Social Services,Homeless Shelters and Services,,www.fjm.org,Fred Jordan Mission,445 Towne Ave.,,Los Angeles,CA,"Monday through Sunday, 24 hours per day. ","FAX (626) 332-8759,  Service/Intake and Administration (626) 915-1981,  Service/Intake (213) 489-7763",,www.fjm.org,,,60004,"The mission provides emergency food, holiday assistance, personal enrichment, personal goods, shelter for the homeless in the Skid Row area of downtown Los Angeles and volunteer opportunities.",90013,http://egis3.lacounty.gov/lms/?p=60004,publish,2013-06-01T11:50:56.000Z,,6488389.66778514,1838240.46093473,POINT (-118.2418950568547 34.04333896658891),1239,206200,06037206200,2062.00,1241,6229434.99902,11677.5064103,6488479.0,1839572.0
-118.244974055892726,34.045372966932526,97682435,211,,Social Services,Homeless Shelters and Services,,www.losangelesmission.org,Anne Douglas Center Of The Los Angeles Mission,310 Winston St.,,Los Angeles,CA,"Monday through Sunday, 24 hours per day. ","LA Mission Main Desk Service/Intake (213) 629-1227,  Service/Intake and Administration (213) 614-0743",,www.losangelesmission.org,,,60318,"The program provides Christian-oriented homeless support services, personal goods and substance abuse services for low-income and homeless women and women with children in the Skid Row area of downtown Los Angeles.",90013,http://egis3.lacounty.gov/lms/?p=60318,publish,2013-06-01T11:50:56.000Z,,6487458.70901714,1838982.93025032,POINT (-118.2449740558927 34.04537296693253),1239,206200,06037206200,2062.00,1241,6229434.99902,11677.5064103,6488479.0,1839572.0
-118.00119605686487,34.145580967288687,97626412,211,,Social Services,Homeless Shelters and Services,,,Santa Anita Family Service,605 S. Myrtle Ave.,,Monrovia,CA,,"Service/Intake and Administration (626) 359-9358,  FAX (626) 358-7647",,www.santaanitafamilyservice.org,,,794,"The agency provides CalFresh services, child abuse services, counseling services, domestic violence services, drug abuse services and services for older adults.",91016,http://egis3.lacounty.gov/lms/?p=794,publish,2013-06-01T11:50:56.000Z,,6561308.44812839,1875360.08321765,POINT (-118.0011960568649 34.14558096728869),1857,431100,06037431100,4311.00,1859,32457307.3936,26322.5424804,6562516.0,1871903.0
-118.097589357112696,34.102463507049798,97626417,211,,Social Services,Homeless Shelters and Services,,,Santa Anita Family Service - San Gabriel,206 E Las  Tunas Dr,,San Gabriel,CA,,"Service/Intake (626) 308-1414,  FAX (626) 308-1818",,www.santaanitafamilyservice.org,,,795,"The agency provides CalFresh services, child abuse services, counseling services, domestic violence services, drug abuse services and services for older adults.",91776,http://egis3.lacounty.gov/lms/?p=795,publish,2013-06-01T11:50:56.000Z,,6532127.09179306,1859683.18018831,POINT (-118.0975893571127 34.1024635070498),1712,481102,06037481102,4811.02,1714,6620982.69238,11588.5609631,6533069.0,1858729.0
-118.321473055802926,34.101822966754099,97626692,211,,Social Services,Homeless Shelters and Services,,,Children's Hosptial Los Angeles - High Risk Youth Program - Saban Free Clinic,6043 Hollywood Blvd.,,Los Angeles,CA,"Tuesday, 1:00pm to 5:00pm and Thursday, 2:00pm to 5:00pm. ","Appointments Service/Intake (323) 653-1990, Saban Free Clinic Admin. Administrative (323) 462-8632, Medi-Cal, HMO and Patients under 21 Service/Intake (323) 337-1775",,www.childrenshospitalla.org/site/c.ipINKTOAJsG/b.4452451/,,,946,The agency provides health services and homeless support services for youth age 12 to 24 in the Hollywood area.,90028,http://egis3.lacounty.gov/lms/?p=946,publish,2013-06-01T11:50:56.000Z,,6464350.12268847,1859591.35556881,POINT (-118.3214730558029 34.1018229667541),1482,191000,06037191000,1910.00,1484,6982443.0498,11184.1548501,6464284.0,1859277.0
-118.317091056235228,34.101491967108146,97679685,211,,Social Services,Homeless Shelters and Services,,www.myfriendsplace.org,My Friend's Place,5850 Hollywood Blvd.,,Hollywood,CA,,"Service/Intake and Administration (323) 908-0011 Ext.100, 888-YOUTH-50 Service/Intake and Hotline (888) 968-8450",,www.myfriendsplace.org,,,57764,The agency provides homeless support services and runaway services for youth and young adults who are in the Hollywood area.,90028,http://egis3.lacounty.gov/lms/?p=57764,publish,2013-06-01T11:50:56.000Z,,6465676.3103248,1859466.68554255,POINT (-118.3170910562352 34.10149196710815),1482,191000,06037191000,1910.00,1484,6982443.0498,11184.1548501,6464284.0,1859277.0
